"Timestamp","First.name","Last.name","Sexe","Age","Address","Phone.number","E.mail","Where.are.you.from..","What.level.of.education.are.you.currently.completing..","What.school.are.you.currently.studying.at..","What.s.your.work.status..","What.field.do.you.work.in..","How.did.you.find.out.about.our.event..","Comments.if.needed"
"07/09/2020 15:41","NA","NA","Female","Between 20 and 30","NA","NA","NA","India","Engineering degree","PES University","Studying","Science, Engineering, Technology, & Mathematics","LinkedIn",""
"07/09/2020 17:11","NA","NA","Female","Between 31 and 40","NA","NA","NA","Tunisia","Doctorate degree","None","Employed","Biology","Facebook",""
"08/09/2020 13:25","NA","NA","Male","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","FST","Studying","Biology","Facebook",""
"08/09/2020 17:07","NA","NA","Male","Between 20 and 30","NA","NA","NA","Egypt","Master's degree","None","Employed","Biology","LinkedIn",""
"08/09/2020 17:42","NA","NA","Male","Between 20 and 30","NA","NA","NA","Algeria","Master's degree","Batna2","Studying","Computer science","Facebook",""
"09/09/2020 00:04","NA","NA","Male","Between 20 and 30","NA","NA","NA","Egypt","College degree","None","Employed","Healthcare","LinkedIn",""
"09/09/2020 07:08","NA","NA","Female","Between 20 and 30","NA","NA","NA","Qatar","Master's degree","U of Birmingham","Studying","Biology","LinkedIn",""
"09/09/2020 07:28","NA","NA","Female","More than 40","NA","NA","NA","Egypt","Doctorate degree","None","Employed","Biology","Facebook",""
"09/09/2020 10:03","NA","NA","Female","Between 31 and 40","NA","NA","NA","Norway","Doctorate degree","University of Bergen","Studying","Science, Engineering, Technology, & Mathematics","someone from work",""
"09/09/2020 11:02","NA","NA","Female","Between 20 and 30","NA","NA","NA","Egypt","Master's degree","Ain Shams University","Employed","Science, Engineering, Technology, & Mathematics","LinkedIn",""
"09/09/2020 11:45","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","None","None","Self-employed/Freelance","Biostatistics","A friend",""
"09/09/2020 12:49","NA","NA","Female","More than 40","NA","NA","NA","Tunisia","Doctorate degree","None","Employed","Biology","A friend",""
